matches	category	city	state	title	url
0	System	Valbonne	Alpes-Maritimes	Spécialiste Opérationnel - Système SONAR F/H	https://careers.thalesgroup.com/global/en/job/R0319457/Spécialiste-Opérationnel-Système-SONAR-F-H
0	Hardware	Élancourt	Yvelines	Ingénieur des Composants électroniques - F/H	https://careers.thalesgroup.com/global/en/job/R0312558/Ingénieur-des-Composants-électroniques-F-H
0	Engineering and Technical specialities	Vélizy-Villacoublay	Yvelines	Consultant Cybersécurité et Analyse de Risques Systèmes Embarqués (H/F)	https://careers.thalesgroup.com/global/en/job/R0231564/Consultant-Cybersécurité-et-Analyse-de-Risques-Systèmes-Embarqués-H-F
0	Software	Vélizy-Villacoublay	Yvelines	Senior DevOps Engineer  - F/H	https://careers.thalesgroup.com/global/en/job/R0317576/Senior-DevOps-Engineer-F-H
0	Software	Vélizy-Villacoublay	Yvelines	Ingénieur Développement Logiciel Embarqué F.H	https://careers.thalesgroup.com/global/en/job/R0316996/Ingénieur-Développement-Logiciel-Embarqué-F-H
0	System	Vélizy-Villacoublay	Yvelines	Responsable de la Transformation des Environnements d’Ingénierie F/H	https://careers.thalesgroup.com/global/en/job/R0312896/Responsable-de-la-Transformation-des-Environnements-d’Ingénierie-F-H
0	Industry	La Ferté-Saint-Aubin	Loiret	Responsable de production - F/H	https://careers.thalesgroup.com/global/en/job/R0319159/Responsable-de-production-F-H
1	Software	Valbonne	Alpes-Maritimes	Software Solutions Engineer - Java (F/H)	https://careers.thalesgroup.com/global/en/job/R0310702/Software-Solutions-Engineer-Java-F-H
0	Engineering and Technical Management	Massy	Essonne	Responsable de Projets Sous-traitance Ingénierie (H/F)	https://careers.thalesgroup.com/global/en/job/R0313519/Responsable-de-Projets-Sous-traitance-Ingénierie-H-F
0	Finance	Cholet	Maine-et-Loire	Responsable du contrôle de gestion industriel H/F	https://careers.thalesgroup.com/global/en/job/R0312220/Responsable-du-contrôle-de-gestion-industriel-H-F
0	Hardware	Châtellerault	Vienne	Responsable Coordination d’Activités Matérielles (F/H)	https://careers.thalesgroup.com/global/en/job/R0308480/Responsable-Coordination-d’Activités-Matérielles-F-H
0	Customer Service	Bordeaux	Gironde	Opérateur de réparation hydro-mécanicien (F/H)	https://careers.thalesgroup.com/global/en/job/R0317778/Opérateur-de-réparation-hydro-mécanicien-F-H
0	Customer Service	Brest	Finistere	Ingénieur Méthodes Industrialisation H/F	https://careers.thalesgroup.com/global/en/job/R0318480/Ingénieur-Méthodes-Industrialisation-H-F
0	Hardware	Gennevilliers	Hauts-de-Seine	Ingénieur conception électronique fiabiliste F/H	https://careers.thalesgroup.com/global/en/job/R0292102/Ingénieur-conception-électronique-fiabiliste-F-H
